CommandID,RequestType,StartTick,EndTick,ChannelID,DieID
0,READ,102821293,154307795,4,12
1,READ,113521293,165007795,6,24
2,READ,128381293,204867795,3,20
3,WRITE,153683793,667655179,7,0
4,READ,155876293,239806798,6,4
5,READ,157368793,233855295,2,1
6,WRITE,194961293,716451682,3,0
7,READ,197153793,273640295,2,18
8,READ,198646293,250132795,1,16
9,WRITE,239156293,753127679,2,0
10,READ,241348793,292835295,0,2
11,READ,242841293,294327795,4,18
12,READ,244333793,320820295,7,17
13,WRITE,247206293,761177679,4,0
14,READ,281943793,333430295,7,29
15,READ,285516293,362002795,3,15
16,WRITE,286308793,800280179,2,1
17,READ,313353793,364840295,4,27
18,READ,314846293,391332795,1,26
19,WRITE,333153793,847125179,6,1
20,READ,361758793,413245295,2,2
21,READ,363251293,439737795,2,25
22,READ,364743793,416230295,7,3
23,WRITE,390566293,904537679,3,1
24,READ,392758793,463044298,2,2
25,READ,413136293,489622795,0,12
26,WRITE,413928793,927900179,5,1
27,READ,433458793,509945295,4,1
28,READ,444158793,520645295,0,27
29,WRITE,460386293,974357679,6,2
30,READ,481381293,557867795,2,24
31,READ,482873793,534360295,2,19
32,READ,495171293,546657795,0,31
33,WRITE,508061293,1022032679,4,2
34,READ,535567310,612053812,6,18
35,READ,551929810,628416312,6,30
36,WRITE,570142310,1084113696,2,2
37,READ,583139810,659626312,7,19
38,READ,593839810,670326312,0,28
39,WRITE,602664810,1140000199,6,3
40,READ,646951312,698437814,5,8
41,READ,661013327,737499829,1,11
42,READ,695585030,747071532,3,21
43,WRITE,711330030,1225301416,5,3
44,READ,721472530,797959032,2,26
45,READ,739591733,796870535,3,2
46,WRITE,766480936,1280452322,4,3
47,READ,783543436,860029938,4,29
48,READ,796323436,847809938,1,14
49,WRITE,824470936,1338442322,6,4
50,READ,826663436,903149938,5,5
51,READ,849592951,912932252,5,31
52,READ,851085451,902571953,2,17
53,WRITE,872105451,1386076837,5,4
54,READ,888124966,939611468,4,26
55,READ,900422466,952948941,5,27
56,WRITE,917472466,1431443852,2,4
57,READ,954674481,1006160983,0,21
58,READ,971036981,1047523483,4,5
59,WRITE,985279481,1517744870,0,4
60,READ,1007871981,1084358483,5,21
61,READ,1009364481,1085850983,4,24
62,READ,1029741981,1081228483,1,2
63,WRITE,1032614481,1559107370,4,4
64,READ,1045999481,1122485983,2,21
65,READ,1062361981,1138848483,4,7
66,WRITE,1072444481,1595942370,5,5
67,READ,1084184481,1135670983,1,30
68,READ,1122828996,1199315498,3,7
69,WRITE,1136976496,1650947882,4,5
70,READ,1160571496,1212057998,2,13
71,READ,1171271496,1247757998,4,6
72,READ,1184051496,1260537998,4,9
73,WRITE,1199663996,1713635382,5,6
74,READ,1201856496,1273317919,5,3
75,READ,1215363996,1291850498,3,28
76,WRITE,1240010699,1753982085,6,6
77,READ,1253008199,1304494701,1,0
78,READ,1272178199,1348664701,3,15
79,WRITE,1293593511,1807564897,4,6
80,READ,1325148026,1376634528,3,24
81,READ,1340467541,1391954043,0,8
82,READ,1361377541,1412864043,5,18
83,WRITE,1375732541,1889703927,3,6
84,READ,1377925041,1454411543,1,4
85,READ,1411707541,1464193857,1,5
86,WRITE,1412500041,1926471427,6,7
87,READ,1432425353,1483911855,6,5
88,READ,1449270353,1525756855,5,28
89,WRITE,1472625353,1986596739,7,7
90,READ,1474817853,1526304355,0,17
91,READ,1487502853,1538989355,3,14
92,READ,1503865353,1580351855,0,7
93,WRITE,1513947853,2027919239,1,7
94,READ,1529752853,1581239355,7,23
95,READ,1575546370,1627032872,1,30
96,WRITE,1589788870,2103760256,6,8
97,READ,1611303870,1662790372,1,28
98,READ,1627616370,1679102872,2,31
99,WRITE,1628408870,2142380256,0,8
100,READ,1647551370,1699037872,3,1
101,READ,1667846370,1719332872,7,23
102,READ,1669338870,1745825372,5,3
103,WRITE,1684308870,2198280256,5,8
104,READ,1701055885,1752542387,0,17
105,READ,1734270088,1815564711,4,15
106,WRITE,1737047588,2251018974,2,8
107,READ,1750045088,1827341390,0,0
108,READ,1772940088,1824426590,7,0
109,WRITE,1783022588,2296993974,6,9
110,READ,1796020088,1872506590,1,3
111,READ,1806720088,1858206590,7,28
112,READ,1820227588,1897703741,3,17
113,WRITE,1863334603,2377305989,5,9
114,READ,1876719603,1928206105,1,11
115,READ,1891484603,1967971105,1,0
116,WRITE,1909697103,2423668489,6,10
117,READ,1921097103,1997583605,6,15
118,READ,1931797103,2008283605,4,19
119,WRITE,1950009603,2463980989,2,10
120,READ,1961409603,2037896105,5,4
121,READ,1975787103,2035919053,1,9
122,READ,1987214603,2063701105,2,27
123,WRITE,2011644118,2525615504,6,11
124,READ,2028706618,2105193120,7,12
125,READ,2045551618,2122038120,7,22
126,WRITE,2063281618,2577253004,3,11
127,READ,2078746618,2155233120,0,13
128,READ,2089446618,2140933120,7,25
129,WRITE,2099529118,2652517007,7,11
130,READ,2109671618,2161158120,6,24
131,READ,2142768633,2219255135,1,23
132,READ,2181873633,2233360135,2,31
133,WRITE,2182666133,2696637519,4,11
134,READ,2197743633,2274230135,3,19
135,READ,2218121133,2294607635,4,17
136,WRITE,2218913633,2732885019,0,11
137,READ,2234378633,2285865135,7,4
138,READ,2250741133,2327227635,1,3
139,WRITE,2264888633,2797449022,7,12
140,READ,2277886133,2345446452,7,2
141,READ,2297056133,2373542635,6,0
142,READ,2320338633,2371825135,2,5
143,WRITE,2334098633,2848070019,4,12
144,READ,2347483633,2423970135,3,0
145,READ,2362248633,2438735135,0,18
146,WRITE,2373928633,2887900019,7,13
147,READ,2396266133,2447752635,2,2
148,READ,2413408148,2464894650,0,0
149,WRITE,2423490648,2937462034,7,14
150,READ,2441763148,2518249650,6,22
151,READ,2463947351,2515433853,5,25
152,READ,2487237663,2563724165,2,26
153,WRITE,2497320163,3027017740,5,14
154,READ,2510800163,2575015170,5,12
155,READ,2527935163,2579421665,6,11
156,WRITE,2532792663,3046764049,7,15
157,READ,2562144366,2638630868,5,19
158,READ,2578506866,2629993368,3,24
159,WRITE,2600784366,3114755752,6,15
160,READ,2613781866,2665268368,6,14
161,READ,2626561866,2703048368,5,11
162,READ,2645681866,2722168368,1,18
163,WRITE,2648554366,3162525752,0,15
164,READ,2685567883,2762054385,4,29
165,READ,2700887398,2777373900,2,5
166,WRITE,2719099898,3233071284,7,16
167,READ,2733307398,2784793900,3,5
168,READ,2760225210,2811711712,3,3
169,WRITE,2761017710,3274989096,6,16
170,READ,2776482710,2852969212,5,10
171,READ,2791247710,2867734212,3,10
172,READ,2811675210,2888161712,1,29
173,WRITE,2825822710,3339794096,2,16
174,READ,2837222710,2913709212,4,31
175,READ,2847922710,2902768215,5,26
176,WRITE,2862892710,3376864096,6,17
177,READ,2913117537,3323005599,6,16
178,READ,2927882537,2979369039,2,22
179,WRITE,2940045037,3454016423,1,17
180,READ,2963120037,3039606539,0,11
181,READ,2964612537,3041099039,4,0
182,READ,2980925037,3057411539,5,28
183,WRITE,2981717537,3495688923,1,18
184,READ,2997522537,3067193853,5,2
185,READ,3011584552,3088071054,0,10
186,WRITE,3073937364,3587908750,2,18
187,READ,3090684379,3142170881,0,12
188,READ,3117753582,3194240084,4,9
189,WRITE,3118546082,3632517468,0,18
190,READ,3137688582,3189175084,1,27
191,READ,3157983582,3209470084,1,16
192,READ,3159476082,3210962584,0,7
193,WRITE,3170381082,3684352468,4,18
194,READ,3187128097,3263614599,5,17
195,READ,3209320112,3285806614,7,21
196,WRITE,3233749627,3747721013,2,19
197,READ,3251294627,3327781129,5,27
198,READ,3267607127,3344093629,5,26
199,WRITE,3268399627,3782371013,2,20
200,READ,3288269627,3364756129,5,23
201,READ,3318581330,3370067832,7,18
202,READ,3334943830,3411430332,6,28
203,WRITE,3353978830,3867950216,0,20
204,READ,3374063345,3425549847,4,25
205,READ,3398555845,3450042347,6,30
206,WRITE,3414168345,3928139731,0,21
207,READ,3416360845,3492847347,2,16
208,READ,3437270845,3488757347,6,27
209,WRITE,3451625845,3965597231,4,21
210,READ,3453818345,3530304847,5,1
211,READ,3483453345,3534939847,4,4
212,READ,3484945845,3561432347,3,22
213,WRITE,3519452860,4033424246,1,21
214,READ,3521645360,3573131862,7,18
215,READ,3538102860,3660925253,2,18
216,WRITE,3558507860,4073016234,3,21
217,READ,3560700360,3637186862,4,2
218,READ,3591683172,3668169674,4,10
219,WRITE,3592475672,4106447058,5,21
220,READ,3609538172,3686024674,5,30
221,READ,3620238172,3696724674,0,7
222,READ,3631278172,3707764674,2,25
223,WRITE,3676207687,4208308561,0,22
224,READ,3697335187,3773821689,4,27
225,READ,3718150187,3794636689,2,12
226,WRITE,3728232687,4242204073,7,22
227,READ,3739632687,3816119189,1,10
228,READ,3752412687,3915966719,0,20
229,WRITE,3770832687,4285405576,4,22
230,READ,3773025187,3824511689,3,6
231,READ,3795057999,3871544501,6,7
232,READ,3813025811,3946343504,6,7
233,WRITE,3835857826,4349829212,7,23
234,READ,3846000326,3897486828,3,29
235,READ,3861319841,3912806343,5,26
236,WRITE,3870144841,4384116227,1,23
237,READ,3903181856,3954668358,4,28
238,READ,3918286856,3994773358,2,2
239,WRITE,3943918559,4457889945,5,23
240,READ,3968068074,4256325064,0,22
241,READ,3982833074,4121032737,3,21
242,READ,3995130574,4071617076,4,4
243,WRITE,4009278074,4523249460,7,24
244,READ,4020678074,4097164576,5,22
245,READ,4031378074,4082864576,0,27
246,WRITE,4042283074,4556254460,5,24
247,READ,4069965089,4146451591,6,0
248,READ,4122942416,4199428918,7,10
249,WRITE,4138687416,4652658802,3,24
250,READ,4152167416,4209211232,7,7
251,READ,4174059916,4250546418,5,1
252,READ,4175552416,4252038918,1,14
253,WRITE,4185634916,4699606302,6,24
254,READ,4195777416,4272263918,1,22
255,READ,4235382243,4311868745,6,4
256,WRITE,4249142243,4763622805,1,24
257,READ,4273464743,4349951245,0,7
258,READ,4297254258,4373740760,5,21
259,WRITE,4323726273,4837697659,3,25
260,READ,4325918773,4402405275,0,1
261,READ,4345731273,4412187589,0,28
262,READ,4347223773,4423710275,5,0
263,WRITE,4365436273,4879407659,2,25
264,READ,4375578773,4433492589,5,18
265,READ,4406712976,4483199478,3,2
266,WRITE,4407505476,4921476862,3,26
267,READ,4428632976,4480119478,6,16
268,READ,4447462976,4498949478,3,9
269,WRITE,4459142976,4973114362,5,26
270,READ,4478285476,4532998481,3,7
271,READ,4502645476,4554131978,1,4
272,READ,4504137976,4580624478,7,8
273,WRITE,4520365476,5034336862,2,26
274,READ,4545037976,4596524478,4,19
275,READ,4548515476,4600001978,3,31
276,WRITE,4560677976,5074649362,3,27
277,READ,4579725476,4656211978,4,23
278,READ,4594490476,4645976978,1,3
279,WRITE,4612702976,5126674362,7,27
280,READ,4624102976,4700589478,7,20
281,READ,4634802976,4711289478,2,5
282,READ,4645502976,4721989478,1,11
283,WRITE,4660472976,5174444362,2,27
284,READ,4682534679,4734021181,3,30
285,READ,4694832179,4750388481,7,13
